スポット名,口コミ数
東急東横線 菊名駅,6
お花絞り HANASAIKA,6
ＪＲ菊名駅,6
東急電鉄こどもの国線 こどもの国駅,6
戸塚区民文化センターさくらプラザ,6
おかしのまちおか　石川町店,6
松原邸,6
横浜フィッシングピアーズ磯子海づり施設,6
京浜急行電鉄生麦駅,6
姫次,6
Milky Green 横浜赤レンガ倉庫店,6
カトリック山手教会聖堂,6
謎解き脱出ゲーム ダークエスケープ,6
川戸農園,6
宇田川邸,6
徳善寺の萩,6
ヘボン博士邸記念碑,5
ＢＥＡＴＴＹ邸［ビーティ邸］,5
ファンタジーキッズリゾート港北,5
横浜市営地下鉄センター北駅,5
坂田農園,5
京急新子安駅,5
staypure,5
揚州飯店　本店,5
Pastel Gardens,5
カトリック横浜司教館別館,5
レザンジュ,5
横浜マリンロケット,5
東急田園都市線たまプラーザ駅,5
カトリック横浜司教館［旧相馬永胤邸］,5
八朔ぶどう園,5
技能文化展示室匠プラザ,5
Local Brand 横浜ワールドポーターズ店,5
みなとみらい東急スクエア,5
長浜ホール［横浜検疫所長浜措置場旧細菌検査室及び旧事務棟］(野口記念公園）,5
横浜市三殿台考古館,5
おかしのまちおか　伊勢佐木町店,5
地蔵王廟,5
Flora Yuko,5
品濃一里塚,5
シルバーオオノ,5
ハッシュパピー・スペシャルティストア横浜元町店,5
三井住友銀行横浜支店（旧三井銀行横浜支店）,5
蕎麦打ちStudio CHIHANA,5
綜通横浜ビル［旧本町旭ビル］,5
環境活動支援センター,5
妙法寺,5
BBQ ビアガーデン スカイテラス,5
山手２１４番館（旧スウェーデン領事公邸）,5
大塚製靴（株）クツのオーツカ資料館,5
デリカ ステーション 新横浜駅　新幹線のりば（東口）・東乗換口改札内コンコース店,5
都筑みかん園,4
岡倉天心生誕碑,4
稲荷前古墳群,4
横浜カントリークラブ,4
アボカドキッチン,4
伍福寿新店,4
YOKOHAMA GLASS,4
舞岡ふるさと村,4
アートクリスタル横浜,4
ランドマークスパ,4
橘樹神社,4
忠彦丸,4
ニューオータニイン横浜プレミアム,4
保土ヶ谷一里塚跡,4
岡村公園,4
ニッポンレンタカー 戸塚駅前店,4
横浜市西谷浄水場,4
クリーニング業発祥の地碑,4
旧帷子橋跡,4
三ツ間農園,4
